Price,Currency,URL,Seller,Location,Size,Floor,Year,Property Type,Phone
80000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170505458818237&slink=auysd2&f1=1,koevimotiaddress.imot.bg,"град Габрово, Русевци",57,N/A,N/A,Продава 2-СТАЕН,N/A
79600,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172042722501372&slink=auysd2&f1=1,paragon.imot.bg,"град Габрово, Трендафил 2",67,4,1989,Продава 2-СТАЕН,0889507112
82995,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170167791633455&slink=auysd2&f1=1,koevimotiaddress.imot.bg,"град Габрово, Трендафил 2",62,6,N/A,Продава 2-СТАЕН,N/A
119900,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171896763754297&slink=auysd2&f1=1,paragon.imot.bg,"град Габрово, Трендафил 2",57,N/A,N/A,Продава 2-СТАЕН,0889507112
72000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171833278389038&slink=auysd2&f1=1,monolit-bg.imot.bg,"град Габрово, Център",64,N/A,N/A,Продава 2-СТАЕН,0885118119
47880,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171808593216686&slink=auysd2&f1=1,paragon.imot.bg,"град Габрово, Център",56,N/A,1968,Продава 2-СТАЕН,0889507112
125000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171940279978726&slink=auysd2&f1=1,cpibulgaria.imot.bg,"град Габрово, Център",64,N/A,N/A,Продава 2-СТАЕН,0877101399
112000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169745100016544&slink=auysd2&f1=1,paragon.imot.bg,"град Габрово, Тлъчници",98,N/A,N/A,Продава 3-СТАЕН,0889507112
73000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c161312090002894&slink=auysd2&f1=1,paragon.imot.bg,"град Габрово, Център",98,N/A,1972,Продава 3-СТАЕН,0889507112
79999,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c167940185578452&slink=auysd2&f1=1,dikova.imot.bg,"град Габрово, Център",97,5,1970,Продава 3-СТАЕН,0898677625
80000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171870243971257&slink=auysd2&f1=1,monolit-bg.imot.bg,"град Габрово, Център",96,5,N/A,Продава 3-СТАЕН,0885118119
150000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168474185583441&slink=auysd2&f1=1,paragon.imot.bg,"град Габрово, Център",104,N/A,1975,Продава 3-СТАЕН,0889507112
63500,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a170893669685261&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Бичкиня",40,5,N/A,Продава 1-СТАЕН,0883750505
38000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a169506622842880&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Бичкиня",40,6,N/A,Продава 1-СТАЕН,0885151488
49950,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171680785049449&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Дядо Дянко",30,N/A,N/A,Продава 1-СТАЕН,N/A
54500,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171212996654908&slink=auysd2&f1=1,dikova.imot.bg,"град Габрово, Младост",41,N/A,N/A,Продава 1-СТАЕН,0893068531
55000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a170384710534775&slink=auysd2&f1=1,sdelka.imot.bg,"град Габрово, Младост",48,N/A,N/A,Продава 1-СТАЕН,0897999595
60000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171645044066304&slink=auysd2&f1=1,dikova.imot.bg,"град Габрово, Младост",38,N/A,N/A,Продава 1-СТАЕН,0896370408
62000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a169329954928780&slink=auysd2&f1=1,dikova.imot.bg,"град Габрово, Младост",38,N/A,N/A,Продава 1-СТАЕН,0896370408
49999,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171586105358004&slink=auysd2&f1=1,dikova.imot.bg,"град Габрово, Сирмани",41,N/A,N/A,Продава 1-СТАЕН,0890176992
28000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a168258466851120&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Център",30,N/A,1960,Продава 1-СТАЕН,0887602324
23000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171385612982173&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Център",28,N/A,N/A,Продава 1-СТАЕН,0893068531
50000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a170478785533839&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Център",47,N/A,1960,Продава 1-СТАЕН,0887602324
58000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a169883746107080&slink=auysd2&f1=2,monolit-bg.imot.bg,"град Габрово, Център",49,N/A,N/A,Продава 1-СТАЕН,0885118119
39100,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a170326500283712&slink=auysd2&f1=2,koevimotiaddress.imot.bg,"град Габрово, Център",34,N/A,N/A,Продава 1-СТАЕН,N/A
47150,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a170439858236167&slink=auysd2&f1=2,koevimotiaddress.imot.bg,"град Габрово, Център",41,3,N/A,Продава 1-СТАЕН,N/A
53000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171750128570786&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Център",53,N/A,2024,Продава 1-СТАЕН,0886886888
130000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171991847422357&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Център",50,4,N/A,Продава 1-СТАЕН,0898675565
60000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b153008073655061&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Бичкиня",65,5,N/A,Продава 2-СТАЕН,0897502002
75000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171679807769286&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Бичкиня",53,N/A,N/A,Продава 2-СТАЕН,0890176993
39900,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170246713043694&slink=auysd2&f1=2,sdelka.imot.bg,"град Габрово, Бичкиня",60,3,N/A,Продава 2-СТАЕН,0896840926
72000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171705840800405&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Дядо Дянко",72,N/A,1970,Продава 2-СТАЕН,0886457295
37500,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171829090161391&slink=auysd2&f1=2,superimotibg.imot.bg,"град Габрово, Дядо Дянко",70,N/A,N/A,Продава 2-СТАЕН,0882638423
75000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171637965532807&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Дядо Дянко",71,N/A,N/A,Продава 2-СТАЕН,0896370408
39900,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168362224796456&slink=auysd2&f1=2,koevimotiaddress.imot.bg,"град Габрово, Дядо Дянко",60,4,N/A,Продава 2-СТАЕН,N/A
80000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169986732880446&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Дядо Дянко",78,N/A,1980,Продава 2-СТАЕН,0887710070
68000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169884451003253&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Младост",57,N/A,N/A,Продава 2-СТАЕН,0883750505
71000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169874909229735&slink=auysd2&f1=2,monolit-bg.imot.bg,"град Габрово, Младост",67,5,N/A,Продава 2-СТАЕН,0885118119
71000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163370019659585&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Младост",67,5,1975,Продава 2-СТАЕН,0887602324
78000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171170611159993&slink=auysd2&f1=2,sdelka.imot.bg,"град Габрово, Младост",61,N/A,N/A,Продава 2-СТАЕН,0897999595
78000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168484007097493&slink=auysd2&f1=2,sdelka.imot.bg,"град Габрово, Младост",55,N/A,N/A,Продава 2-СТАЕН,0896840926
80000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167540838538181&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Младост",65,N/A,N/A,Продава 2-СТАЕН,0898677625
83000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171566989327957&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Младост",58,N/A,N/A,Продава 2-СТАЕН,0884119159
51000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171595395692540&slink=auysd2&f1=2,sdelka.imot.bg,"град Габрово, Младост",55,4,N/A,Продава 2-СТАЕН,0894559910
99900,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171585195728272&slink=auysd2&f1=2,monolit-bg.imot.bg,"град Габрово, Младост",68,N/A,N/A,Продава 2-СТАЕН,0885118119
110000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171938698193772&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Младост",63,N/A,N/A,Продава 2-СТАЕН,0893068531
63500,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171326701326921&slink=auysd2&f1=2,monolit-bg.imot.bg,"град Габрово, Младост",65,N/A,N/A,Продава 2-СТАЕН,0885118119
124500,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171102651530732&slink=auysd2&f1=2,koevimotiaddress.imot.bg,"град Габрово, Младост",67,N/A,N/A,Продава 2-СТАЕН,0886247408
150000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171818328106821&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Младост",64,N/A,N/A,Продава 2-СТАЕН,0896370408
45000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167767869867519&slink=auysd2&f1=2,paragon.imot.bg,"град Габрово, Русевци",57,N/A,N/A,Продава 2-СТАЕН,0889507112
79500,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169096799218927&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Сирмани",68,6,N/A,Продава 2-СТАЕН,0893068531
68000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170557883807332&slink=auysd2&f1=2,dikova.imot.bg,"град Габрово, Трендафил 1",58,N/A,N/A,Продава 2-СТАЕН,0892235961
37000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168855046334305&slink=auysd2&f1=2,sdelka.imot.bg,"град Габрово, Трендафил 1",65,6,N/A,Продава 2-СТАЕН,0894559910
53686,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170973253643568&slink=auysd2&f1=2,regent.imot.bg,"град Габрово, Трендафил 1",57,4,N/A,Продава 2-СТАЕН,0889514617
55000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172009744380592&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Трендафил 1",70,N/A,N/A,Продава 2-СТАЕН,0884119159
60000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172009762415372&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Трендафил 1",71,4,N/A,Продава 2-СТАЕН,0884119159
55000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170964459981604&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Трендафил 2",48,N/A,N/A,Продава 2-СТАЕН,0884119159
58000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171508398027525&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Трендафил 2",40,N/A,N/A,Продава 2-СТАЕН,N/A
95000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171939141425943&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Трендафил 2",62,6,N/A,Продава 2-СТАЕН,0890176992
55000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168657353953936&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",63,N/A,N/A,Продава 2-СТАЕН,0886270697
55000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168655955977191&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",62,N/A,N/A,Продава 2-СТАЕН,0898675565
55000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170679313064871&slink=auysd2&f1=3,accent_vt.imot.bg,"град Габрово, Център",62,N/A,N/A,Продава 2-СТАЕН,0878787185
64000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172069511673450&slink=auysd2&f1=3,paragon.imot.bg,"град Габрово, Център",58,3,1959,Продава 2-СТАЕН,0889507112
70000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164620660632145&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",67,4,1980,Продава 2-СТАЕН,0896752740
73000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167153409325538&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",59,5,1974,Продава 2-СТАЕН,0893068531
73000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165821745753970&slink=auysd2&f1=3,paragon.imot.bg,"град Габрово, Център",63,5,1974,Продава 2-СТАЕН,0889507112
40000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171629525896883&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",54,N/A,N/A,Продава 2-СТАЕН,0894386388
80000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166295785336705&slink=auysd2&f1=3,monolit-bg.imot.bg,"град Габрово, Център",66,N/A,1980,Продава 2-СТАЕН,0885118119
80000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171940695002550&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",63,5,N/A,Продава 2-СТАЕН,0883750505
85000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170679675015230&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",62,5,N/A,Продава 2-СТАЕН,0884119159
85000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170800633472540&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",62,N/A,N/A,Продава 2-СТАЕН,0896752740
85000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171533904425903&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",76,N/A,N/A,Продава 2-СТАЕН,0896370408
88000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171015686044025&slink=auysd2&f1=3,koevimotiaddress.imot.bg,"град Габрово, Център",50,3,N/A,Продава 2-СТАЕН,N/A
90000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171094632795537&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",68,4,1975,Продава 2-СТАЕН,0887602324
50000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165043233071723&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",55,6,2010,Продава 2-СТАЕН,0884119159
55000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169574044405420&slink=auysd2&f1=3,superimotibg.imot.bg,"град Габрово, Център",71,5,1979,Продава 2-СТАЕН,0882638423
110000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171558657698818&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",74,N/A,N/A,Продава 2-СТАЕН,0898677625
117000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171015125053535&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",72,N/A,N/A,Продава 2-СТАЕН,0896752740
117000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171395178527554&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",72,4,N/A,Продава 2-СТАЕН,0884119159
119000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165028727821204&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",87,3,N/A,Продава 2-СТАЕН,0869370408
65600,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169893656354471&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",82,N/A,N/A,Продава 2-СТАЕН,0884119159
66600,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168251204197849&slink=auysd2&f1=3,sdelka.imot.bg,"град Габрово, Център",82,N/A,N/A,Продава 2-СТАЕН,0896840926
67000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b153632964461416&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",67,N/A,1978,Продава 2-СТАЕН,0884119159
67864,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169893631271416&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",85,N/A,N/A,Продава 2-СТАЕН,0884119159
68864,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168251133332268&slink=auysd2&f1=3,sdelka.imot.bg,"град Габрово, Център",85,N/A,N/A,Продава 2-СТАЕН,0897999595
59800,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170439907454991&slink=auysd2&f1=3,koevimotiaddress.imot.bg,"град Габрово, Център",52,3,N/A,Продава 2-СТАЕН,N/A
80000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164422495307688&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",125,N/A,N/A,Продава 2-СТАЕН,0888181250
164930,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170601793506504&slink=auysd2&f1=3,dikova.imot.bg,"град Габрово, Център",91,N/A,N/A,Продава 2-СТАЕН,0893068531
71200,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172069448002216&slink=auysd2&f1=3,monolit-bg.imot.bg,"град Габрово, Център",89,N/A,N/A,Продава 2-СТАЕН,0885118119
74000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171412867461633&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",74,3,2025,Продава 2-СТАЕН,0887602324
90000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171093795439979&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",120,5,2018,Продава 2-СТАЕН,0884119159
88000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b170711905966915&slink=auysd2&f1=3,regent.imot.bg,"град Габрово, Център",80,N/A,2024,Продава 2-СТАЕН,0884119159
255000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171768536827192&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Бичкиня",80,N/A,1980,Продава 3-СТАЕН,0887602324
80000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c166738932428513&slink=auysd2&f1=4,address_vt.imot.bg,"град Габрово, Дядо Дянко",100,4,1985,Продава 3-СТАЕН,0885901961
85000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171523974437364&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Дядо Дянко",87,N/A,1980,Продава 3-СТАЕН,0887602324
110000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171716102033334&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Дядо Дянко",126,N/A,2000,Продава 3-СТАЕН,0884119159
97000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171645043365026&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Младост",80,N/A,N/A,Продава 3-СТАЕН,N/A
97000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171645309751797&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Младост",80,N/A,N/A,Продава 3-СТАЕН,N/A
100000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168233743793001&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Младост",75,N/A,N/A,Продава 3-СТАЕН,N/A
55000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171940381985635&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Младост",78,4,N/A,Продава 3-СТАЕН,0898675565
61500,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171759965508975&slink=auysd2&f1=4,superimotibg.imot.bg,"град Габрово, Младост",75,N/A,N/A,Продава 3-СТАЕН,0882638423
149000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c172001200899271&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Младост",109,3,1976,Продава 3-СТАЕН,0887602324
160000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171870134780514&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Младост",78,N/A,1970,Продава 3-СТАЕН,0887602324
125000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169450878721258&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Сирмани",81,6,N/A,Продава 3-СТАЕН,N/A
154000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170653358028085&slink=auysd2&f1=4,paragon.imot.bg,"град Габрово, Тлъчници",85,N/A,1980,Продава 3-СТАЕН,0889507112
220000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171265811875058&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Тлъчници",93,N/A,N/A,Продава 3-СТАЕН,0896370408
117000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170013645718609&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Трендафил 1",76,N/A,N/A,Продава 3-СТАЕН,0892235961
154000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170678174169066&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Трендафил 1",81,N/A,N/A,Продава 3-СТАЕН,0898675565
155000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171439246364346&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Трендафил 1",82,N/A,N/A,Продава 3-СТАЕН,0896752740
100000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171811462707518&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Трендафил 2",76,N/A,N/A,Продава 3-СТАЕН,0892235961
115000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171808690033754&slink=auysd2&f1=4,leoimoti.imot.bg,"град Габрово, Трендафил 2",87,N/A,N/A,Продава 3-СТАЕН,0896242419
60000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c154263355596322&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Център",187,3,1970,Продава 3-СТАЕН,0884119159
40000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c151213967390608&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Център",90,4,N/A,Продава 3-СТАЕН,N/A
83000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171749195370475&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Център",70,N/A,N/A,Продава 3-СТАЕН,0896370408
85000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170428892457985&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Център",83,N/A,N/A,Продава 3-СТАЕН,0886270697
89999,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169744197716275&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Център",110,N/A,N/A,Продава 3-СТАЕН,0888181250
90000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170964451124610&slink=auysd2&f1=4,regent.imot.bg,"град Габрово, Център",76,3,1970,Продава 3-СТАЕН,0887602324
93000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c166193692632655&slink=auysd2&f1=4,dikova.imot.bg,"град Габрово, Център",80,N/A,N/A,Продава 3-СТАЕН,0896370408
